study,QA1_aims,QA2_mechanism_defined,QA3_ablation,QA4_repro,QA5_faithfulness,QA6_correction,QA7_family_scope,QA8_threats
Preference-Based Alignment of Discrete Diffusion Models,1,1,1,0.5,0,0,0.5,0.5
Understanding the Quality-Diversity Trade-off in Diffusion Language Models,1,1,0.5,0.5,0,0,0.5,0.5
Quantized Embedding Vectors for Controllable Diffusion Language Models,1,1,0.5,1,0,0,0,0.5
Volcano: Mitigating Multimodal Hallucination through Self-Feedback Guided Revision,1,1,0.5,1,1,1,0,0.5
Distillation of Discrete Diffusion through Dimensional Correlations,1,1,0.5,1,0,0,0.5,0.5
Adaptive Steering and Remasking for Safe Generation in Diffusion Language Models,1,1,1,1,0,0,0,0.5
G2D2: Gradient-Guided Discrete Diffusion for Inverse Problem Solving,1,1,0.5,1,0,0,0.5,0.5
Remasking Discrete Diffusion Models with Inference-Time Scaling,1,1,0.5,1,0,1,0.5,0.5
Improving Discrete Diffusion Models via Structured Preferential Generation,1,1,0.5,1,0,0,0.5,0.5
Variational Autoencoding Discrete Diffusion with Enhanced Dimensional Correlations Modeling,1,1,0.5,0.5,0,0,0.5,0.5
Effective Test-Time Scaling of Discrete Diffusion through Iterative Refinement,1,1,0.5,0.5,0,0,0.5,0.5
Fine-Tuning Discrete Diffusion Models with Policy Gradient Methods,1,1,0.5,1,0,0,0.5,0.5
Align to the Pivot: Dual Alignment with Self-Feedback for Multilingual Math Reasoning,1,1,1,1,0,1,0,0.5
Continuously Augmented Discrete Diffusion model for Categorical Generative Modeling,1,1,0.5,1,0,0,0.5,0.5
Diffusion Language Models for Speech Recognition,1,1,0.5,1,0,0,0.5,0.5
Generalized Discrete Diffusion with Self-Correction,1,1,0.5,1,0,1,1,0.5
Scale-Wise VAR is Secretly Discrete Diffusion,1,1,0.5,1,0,0,0.5,0.5
Glauber Generative Model: Discrete Diffusion Models via Binary Classification,1,1,1,1,0,0,0.5,0.5
Double Descent as a Lens for Sample Efficiency in Autoregressive vs. Discrete Diffusion Models,1,1,0.5,1,0,0,0.5,0.5
Post-Training Large Language Models via Reinforcement Learning from Self-Feedback,1,1,0.5,0.5,0,0,0,0.5
CoDAR: Continuous Diffusion Language Models are More Powerful Than You Think,1,1,0.5,1,0,0,0.5,0.5
Token-Based Audio Inpainting via Discrete Diffusion,1,1,0.5,1,0,0,0.5,0.5
TRIMS: Trajectory-Ranked Instruction Masked Supervision for Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
TrajDLM: Topology-Aware Block Diffusion Language Model for Trajectory Generation,1,1,0.5,1,1,0,1,0.5
LR-DWM: Efficient Watermarking for Diffusion Language Models,1,1,0.5,0.5,0,0,0,0.5
"Beyond Masks: Efficient, Flexible Diffusion Language Models via Deletion-Insertion Processes",1,1,1,1,0,1,0.5,0.5
Syntax-Guided Diffusion Language Models with User-Integrated Personalization,1,1,0.5,1,1,0,0,0.5
Inference-Time Scaling of Discrete Diffusion Models via Importance Weighting and Optimal Proposal Design,1,1,0.5,0.5,0,0,0.5,0.5
Internal Consistency and Self-Feedback in Large Language Models: A Survey,1,1,0.5,1,1,1,0,0.5
Discovering Mathematical Equations with Diffusion Language Model,1,1,0.5,1,0,0,0.5,0.5
On the $ε$-Free Inference Complexity of Absorbing Discrete Diffusion,1,1,0.5,0.5,0,1,0.5,0.5
Support Before Frequency in Discrete Diffusion,1,1,0.5,1,0,1,0.5,0.5
Copilot4D: Learning Unsupervised World Models for Autonomous Driving via Discrete Diffusion,1,1,0.5,1,0,0,0.5,0.5
Diffusion Language Models Can Perform Many Tasks with Scaling and Instruction-Finetuning,1,1,0.5,1,0,0,1,0.5
Discrete Diffusion Trajectory Alignment via Stepwise Decomposition,1,1,0.5,1,0,0,0.5,0.5
In-Situ Tweedie Discrete Diffusion Models,1,1,1,1,0,1,0.5,0.5
SeqDiffuSeq: Text Diffusion with Encoder-Decoder Transformers,1,1,0.5,1,0,0,1,0.5
Corrective Diffusion Language Models,1,1,0.5,1,0,1,0.5,0.5
Think While You Generate: Discrete Diffusion with Planned Denoising,1,1,0.5,1,0,0,0.5,0.5
Stratified Hazard Sampling: Minimal-Variance Event Scheduling for CTMC/DTMC Discrete Diffusion and Flow Models,1,1,1,1,0,0,0.5,0.5
Latent-DARM: Bridging Discrete Diffusion And Autoregressive Models For Reasoning,1,1,0.5,1,0,0,0.5,0.5
Symbol-Aware Reasoning with Masked Discrete Diffusion for Handwritten Mathematical Expression Recognition,1,1,0.5,1,0,0,0.5,0.5
TD3B: Transition-Directed Discrete Diffusion for Allosteric Binder Generation,1,1,0.5,1,0,0,0.5,0.5
Next Semantic Scale Prediction via Hierarchical Diffusion Language Models,1,1,0.5,1,0,0,1,0.5
Your Absorbing Discrete Diffusion Secretly Models the Conditional Distributions of Clean Data,1,1,1,1,0,0,0.5,0.5
Can Language Models Critique Themselves? Investigating Self-Feedback for Retrieval Augmented Generation at BioASQ 2025,1,1,0.5,0.5,0,1,0,0.5
Blockwise SFT for Diffusion Language Models: Reconciling Bidirectional Attention and Autoregressive Decoding,1,1,1,1,1,0,0.5,0.5
Dependency-Aware Discrete Diffusion for Scene Graph Generation,1,1,0.5,1,0,0,0.5,0.5
Improving Diffusion Language Model Decoding through Joint Search in Generation Order and Token Space,1,1,0.5,1,0,0,0,0.5
Guidance Is Not a Hyperparameter: Learning Dynamic Control in Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Dystruct: Dynamically Structured Diffusion Language Model Decoding via Bayesian Inference,1,1,0.5,1,0,0,0,0.5
Membership Inference Attacks on Discrete Diffusion Language Models,1,1,1,1,0,0,1,0.5
Convergence Analysis of Discrete Diffusion Model: Exact Implementation through Uniformization,1,1,0.5,0.5,0,0,0.5,0.5
ILRR: Inference-Time Steering Method for Masked Diffusion Language Models,1,1,0.5,0.5,0,0,1,0.5
GenMol: A Drug Discovery Generalist with Discrete Diffusion,1,1,0.5,1,0,0,1,0.5
Unlocking Prompt Infilling Capability for Diffusion Language Models,1,1,0.5,0.5,0,0,1,0.5
CtrlDiff: Boosting Large Diffusion Language Models with Dynamic Block Prediction and Controllable Generation,1,1,1,1,0,0,0.5,0.5
Chainwash: Multi-Step Rewriting Attacks on Diffusion Language Model Watermarks,1,1,0.5,0.5,0,0,0,0.5
Discrete Diffusion Models: Novel Analysis and New Sampler Guarantees,1,1,0.5,0.5,0,0,0.5,0.5
LLaDA-Rec: Discrete Diffusion for Parallel Semantic ID Generation in Generative Recommendation,1,1,0.5,1,0,1,0.5,0.5
Loopholing Discrete Diffusion: Deterministic Bypass of the Sampling Wall,1,1,0.5,1,0,0,1,0.5
Crystal: Introspective Reasoners Reinforced with Self-Feedback,1,1,0.5,1,0,0,0,0.5
DiffuSpec: Unlocking Diffusion Language Models for Speculative Decoding,1,1,0.5,1,0,0,0,0.5
D5P4: Partition Determinantal Point Process for Diversity in Parallel Discrete Diffusion Decoding,1,1,0.5,1,0,0,1,0.5
dgMARK: Decoding-Guided Watermarking for Diffusion Language Models,1,1,1,0.5,0,0,0.5,0.5
A Self-feedback Knowledge Elicitation Approach for Chemical Reaction Predictions,1,1,0.5,0.5,0,0,0,0.5
Scaling Diffusion Language Models via Adaptation from Autoregressive Models,1,1,1,1,0,0,0,0.5
FastDiSS: Few-step Match Many-step Diffusion Language Model on Sequence-to-Sequence Generation--Full Version,1,1,0.5,1,0,1,0.5,0.5
Guided Transfer Learning for Discrete Diffusion Models,1,1,1,1,0,0,1,0.5
Information-Theoretic Discrete Diffusion,1,1,0.5,1,0,0,0.5,0.5
NI Sampling: Accelerating Discrete Diffusion Sampling by Token Order Optimization,1,1,1,1,0,1,1,0.5
Soft-Masked Diffusion Language Models,1,1,0.5,1,0,1,0.5,0.5
Cross-Modality Controlled Molecule Generation with Diffusion Language Model,1,1,1,1,0,0,0,0.5
