study,QA1_aims,QA2_mechanism_defined,QA3_ablation,QA4_repro,QA5_faithfulness,QA6_correction,QA7_family_scope,QA8_threats
Diffusion In Diffusion: Reclaiming Global Coherence in Semi-Autoregressive Diffusion,1,1,0.5,1,0,0,0.5,0.5
The Diffusion Duality,1,1,0.5,1,0,1,1,0.5
Predicting and generating antibiotics against future pathogens with ApexOracle,1,1,0.5,0.5,0,0,1,0.5
Language Modeling with Hyperspherical Flows,1,1,0.5,1,0,1,0.5,0.5
TEAM: Temporal-Spatial Consistency Guided Expert Activation for MoE Diffusion Language Model Acceleration,1,1,0.5,1,0,0,0.5,0.5
LADR: Locality-Aware Dynamic Rescue for Efficient Text-to-Image Generation with Diffusion Large Language Models,1,1,0.5,1,0,1,0.5,0.5
VDLM: Variable Diffusion LMs via Robust Latent-to-Text Rendering,1,1,0.5,1,0,0,1,0.5
Diffusion Models for Non-autoregressive Text Generation: A Survey,1,1,0.5,0.5,0,0,0,0.5
Fast Sampling via Discrete Non-Markov Diffusion Models with Predetermined Transition Time,1,1,0.5,1,0,0,0.5,0.5
Discrete Copula Diffusion,1,1,0.5,0.5,0,0,1,0.5
Dream-VL & Dream-VLA: Open Vision-Language and Vision-Language-Action Models with Diffusion Language Model Backbone,1,1,0.5,1,0,0,0.5,0.5
DPad: Efficient Diffusion Language Models with Suffix Dropout,1,1,0.5,1,0,0,0,0.5
On the Reasoning Abilities of Masked Diffusion Language Models,1,1,0.5,0.5,0,0,0.5,0.5
Self-Refine: Iterative Refinement with Self-Feedback,1,1,0.5,1,0,0,0,0.5
DARE: Diffusion Language Model Activation Reuse for Efficient Inference,1,1,1,1,0,0,0,0.5
Formulating Discrete Probability Flow Through Optimal Transport,1,1,0.5,1,0,0,0.5,0.5
LLM driven Text-to-Table Generation through Sub-Tasks Guidance and Iterative Refinement,1,1,0.5,1,0,0,0,0.5
Dual Diffusion for Unified Image Generation and Understanding,1,1,0.5,0.5,0,0,0.5,0.5
Understanding and Accelerating the Training of Masked Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Mask Is What DLLM Needs: A Masked Data Training Paradigm for Diffusion LLMs,1,1,0.5,1,0,0,0.5,0.5
Continuous Diffusion Model for Language Modeling,1,1,0.5,1,0,0,1,0.5
Simplified and Generalized Masked Diffusion for Discrete Data,1,1,0.5,1,0,0,1,0.5
DiffusEmp: A Diffusion Model-Based Framework with Multi-Grained Control for Empathetic Response Generation,1,1,1,1,0,0,0,0.5
Generating Grounded Responses to Counter Misinformation via Learning Efficient Fine-Grained Critiques,1,1,0.5,1,1,1,0,0.5
DiffusER: Discrete Diffusion via Edit-based Reconstruction,1,1,0.5,0.5,0,1,1,0.5
SPG: Sandwiched Policy Gradient for Masked Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Autoregressive vs. Masked Diffusion Language Models: A Controlled Comparison,1,1,0.5,1,0,0,0.5,0.5
Discrete Langevin-Inspired Posterior Sampling,1,1,1,0.5,0,0,1,0.5
Planning with Diffusion Models for Target-Oriented Dialogue Systems,1,1,0.5,1,0,1,0,0.5
Graph Representation Learning with Diffusion Generative Models,1,1,0.5,1,0,0,0.5,0.5
SELF: Self-Evolution with Language Feedback,1,1,1,1,0,0,0,0.5
Language Rectified Flow: Advancing Diffusion Language Generation with Probabilistic Flows,1,1,1,1,0,0,1,0.5
EdiText: Controllable Coarse-to-Fine Text Editing with Diffusion Language Models,1,1,0.5,0.5,0,0,0,0.5
Self-Correcting Decoding with Generative Feedback for Mitigating Hallucinations in Large Vision-Language Models,1,1,0.5,1,1,1,0,0.5
Context-Aware Initialization for Reducing Generative Path Length in Diffusion Language Models,1,1,0.5,0.5,0,0,0.5,0.5
A Survey on Parallel Text Generation: From Parallel Decoding to Diffusion Language Models,1,1,0.5,0.5,0,0,0,0.5
InfoDiffusion: Information Entropy Aware Diffusion Process for Non-Autoregressive Text Generation,1,1,0.5,1,0,0,0,0.5
Improving Discrete Diffusion Unmasking Policies Beyond Explicit Reference Policies,1,1,0.5,1,0,0,0.5,0.5
Search-Augmented Masked Diffusion Models for Constrained Generation,1,1,0.5,1,0,0,0.5,0.5
Complex Preferences for Different Convergent Priors in Discrete Graph Diffusion,1,1,0.5,1,0,0,1,0.5
Stop the Flip-Flop: Context-Preserving Verification for Fast Revocable Diffusion Decoding,1,1,0.5,1,0,1,0.5,0.5
DICE: Discrete Inversion Enabling Controllable Editing for Multinomial Diffusion and Masked Generative Models,1,1,1,0.5,0,0,0.5,0.5
An Effective Deployment of Diffusion LM for Data Augmentation in Low-Resource Sentiment Classification,1,1,1,1,0,0,0,0.5
D3RM: A Discrete Denoising Diffusion Refinement Model for Piano Transcription,1,1,0.5,1,0,0,0.5,0.5
SpecDiff-2: Scaling Diffusion Drafter Alignment For Faster Speculative Decoding,1,1,1,1,0,0,0.5,0.5
Cosmos: Compressed and Smooth Latent Space for Text Diffusion Modeling,1,1,0.5,1,0,0,0,0.5
Segment-Level Diffusion: A Framework for Controllable Long-Form Generation with Diffusion Language Models,1,1,0.5,1,0,0,0,0.5
Factual and Edit-Sensitive Graph-to-Sequence Generation via Graph-Aware Adaptive Noising,1,1,0.5,1,1,1,0,0.5
Beyond Masked and Unmasked: Discrete Diffusion Models via Partial Masking,1,1,1,0.5,0,0,0.5,0.5
Fast-dLLM v2: Efficient Block-Diffusion LLM,1,1,1,1,0,0,0,0.5
"The Diffusion Duality, Chapter II: $Ψ$-Samplers",1,1,0.5,1,0,1,1,0.5
LLaDA2.1: Speeding Up Text Diffusion via Token Editing,1,1,0.5,1,0,0,0,0.5
Fast and Fluent Diffusion Language Models via Convolutional Decoding and Rejective Fine-tuning,1,1,1,1,0,0,0,0.5
MolEditRL: Structure-Preserving Molecular Editing via Discrete Diffusion and Reinforcement Learning,1,1,0.5,1,0,0,0.5,0.5
DiffS2UT: A Semantic Preserving Diffusion Model for Textless Direct Speech-to-Speech Translation,1,1,0.5,1,0,0,0.5,0.5
Simple Denoising Diffusion Language Models,1,1,0.5,1,0,1,0.5,0.5
DiffusionBERT: Improving Generative Masked Language Models with Diffusion Models,1,1,0.5,1,0,0,0.5,0.5
Discrete Feynman-Kac Correctors,1,1,0.5,1,0,1,0.5,0.5
DiffuMamba: High-Throughput Diffusion LMs with Mamba Backbone,1,1,0.5,0.5,0,0,0.5,0.5
Diffusion on language model encodings for protein sequence generation,1,1,0.5,1,0,0,1,0.5
Mechanism Shift During Post-training from Autoregressive to Masked Diffusion Language Models,1,1,0.5,0.5,0,0,0.5,0.5
Meta-DiffuB: A Contextualized Sequence-to-Sequence Text Diffusion Model with Meta-Exploration,1,1,1,1,0,0,0,0.5
The Design Space of Tri-Modal Masked Diffusion Models,1,1,0.5,0.5,0,0,0.5,0.5
Learning Unmasking Policies for Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Corrected Samplers for Discrete Flow Models,1,1,1,1,0,1,0.5,0.5
Understanding the Predictive Power of Computational Mechanics and Echo State Networks in Social Media,1,1,0.5,0.5,0,0,0,0.5
"A Unification of Discrete, Gaussian, and Simplicial Diffusion",1,1,0.5,1,0,0,0.5,0.5
A General Framework for Inference-time Scaling and Steering of Diffusion Models,1,1,0.5,1,0,0,0,0.5
Can Large Reasoning Models Self-Train?,1,1,0.5,1,0,0,0,0.5
CORE: Context-Robust Remasking for Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Towards A Generative Protein Evolution Machine with DPLM-Evo,1,1,0.5,0.5,0,0,0.5,0.5
Can LLMs Patch Security Issues?,1,1,0.5,1,0,0,0,0.5
FRIGID: Scaling Diffusion-Based Molecular Generation from Mass Spectra at Training and Inference Time,1,1,0.5,1,0,0,0,0.5
Pride and Prejudice: LLM Amplifies Self-Bias in Self-Refinement,1,1,0.5,1,0,0,0,0.5
FlashBlock: Attention Caching for Efficient Long-Context Block Diffusion,1,1,1,1,0,0,0,0.5
Deterministic Discrete Denoising,1,1,1,0.5,0,0,0.5,0.5
Equivariant Denoisers Cannot Copy Graphs: Align Your Graph Diffusion Models,1,1,0.5,1,0,0,0.5,0.5
SELU: Self-Learning Embodied MLLMs in Unknown Environments,1,1,0.5,0.5,0,0,0,0.5
Lookahead Unmasking Elicits Accurate Decoding in Diffusion Language Models,1,1,1,1,0,1,0.5,0.5
"Review, Remask, Refine (R3): Process-Guided Block Diffusion for Text Generation",1,1,0.5,0.5,0,1,0.5,0.5
Categorical Reparameterization with Denoising Diffusion models,1,1,0.5,1,0,0,0.5,0.5
Self-Evolved Reward Learning for LLMs,1,1,0.5,1,0,0,0,0.5
Neurosymbolic Diffusion Models,1,1,0.5,1,0,0,1,0.5
EvoConfig: Self-Evolving Multi-Agent Systems for Efficient Autonomous Environment Configuration,1,1,0.5,0.5,0,1,0,0.5
SILMM: Self-Improving Large Multimodal Models for Compositional Text-to-Image Generation,1,1,0.5,1,0,0,0.5,0.5
Inverse Design of Optical Multilayer Thin Films using Robust Masked Diffusion Models,1,1,0.5,0.5,0,1,0.5,0.5
Speculative Diffusion Decoding: Accelerating Language Generation through Diffusion,1,1,1,1,0,0,0.5,0.5
Self-Critique and Refinement for Faithful Natural Language Explanations,1,1,1,1,1,0,0,0.5
EvoFlows: Evolutionary Edit-Based Flow-Matching for Protein Engineering,1,1,0.5,0.5,0,0,0.5,0.5
Self-conditioned Embedding Diffusion for Text Generation,1,1,0.5,0.5,0,0,0.5,0.5
"DiffuSpeech: Silent Thought, Spoken Answer via Unified Speech-Text Diffusion",1,1,1,1,0,1,0.5,0.5
Unifying Masked Diffusion Models with Various Generation Orders and Beyond,1,1,0.5,1,0,0,0.5,0.5
Cross-Refine: Improving Natural Language Explanation Generation by Learning in Tandem,1,1,1,1,0,0,0,0.5
FlowLM: Few-Step Language Modeling via Diffusion-to-Flow Adaptation,1,1,0.5,0.5,0,0,0.5,0.5
Generative or Discriminative? Revisiting Text Classification in the Era of Transformers,1,1,0.5,1,0,1,0.5,0.5
Enabling Autoregressive Models to Fill In Masked Tokens,1,1,0.5,1,0,0,0.5,0.5
TESS: Text-to-Text Self-Conditioned Simplex Diffusion,1,1,0.5,1,0,0,0.5,0.5
Discrete Stochastic Localization for Non-autoregressive Generation,1,1,1,0.5,1,0,1,0.5
Diffusion vs. Autoregressive Language Models: A Text Embedding Perspective,1,1,0.5,1,0,0,0,0.5
DyLLM: Efficient Diffusion LLM Inference via Saliency-based Token Selection and Partial Attention,1,1,0.5,1,0,0,0.5,0.5
Efficient Generative Modeling with Residual Vector Quantization-Based Tokens,1,1,1,1,0,0,1,0.5
"Neuro-Symbolic Generative Diffusion Models for Physically Grounded, Robust, and Safe Generation",1,1,0.5,0.5,0,0,1,0.5
SkillLearnBench: Benchmarking Continual Learning Methods for Agent Skill Generation on Real-World Tasks,1,0.5,0.5,1,0,0,0.5,0.5
Reinforced Context Order Recovery for Adaptive Reasoning and Planning,1,1,1,1,0,0,0.5,0.5
Set Block Decoding is a Language Model Inference Accelerator,1,1,1,0.5,0,0,0.5,0.5
The Energy of Falsehood: Detecting Hallucinations via Diffusion Model Likelihoods,1,1,0.5,1,1,1,1,0.5
Self-Aware Markov Models for Discrete Reasoning,1,1,0.5,1,0,1,0.5,0.5
DiffScore: Text Evaluation Beyond Autoregressive Likelihood,1,1,0.5,1,1,0,0.5,0.5
OpenScholar: Synthesizing Scientific Literature with Retrieval-augmented LMs,1,1,0.5,1,1,1,0,0.5
Rejection Mixing: Fast Semantic Propagation of Mask Tokens for Efficient DLLM Inference,1,1,1,1,0,1,0.5,0.5
Diffusion Guided Language Modeling,1,1,0.5,1,0,1,0,0.5
ELF: Embedded Language Flows,1,1,0.5,1,0,0,0.5,0.5
Bayesian Flow Networks,1,1,0.5,1,0,0,0.5,0.5
Dirichlet Flow Matching with Applications to DNA Sequence Design,1,1,0.5,1,0,0,0.5,0.5
Minimal-Action Discrete Schrödinger Bridge Matching for Peptide Sequence Design,1,1,0.5,0.5,0,0,0.5,0.5
Differences in Text Generated by Diffusion and Autoregressive Language Models,1,1,0.5,1,0,0,0,0.5
Steering Generative Models with Experimental Data for Protein Fitness Optimization,1,1,0.5,1,0,0,0.5,0.5
Model Cascading for Code: A Cascaded Black-Box Multi-Model Framework for Cost-Efficient Code Completion with Self-Testing,1,1,0.5,1,0,0,0,0.5
Any-Order Flexible Length Masked Diffusion,1,1,0.5,1,0,0,0.5,0.5
A Survey of Diffusion Models in Natural Language Processing,1,1,0.5,0.5,0,0,0,0.5
Cross-Domain Graph Data Scaling: A Showcase with Diffusion Models,1,1,0.5,0.5,0,0,1,0.5
DualDiffusion: A Speculative Decoding Strategy for Masked Diffusion Models,1,1,0.5,0.5,0,0,0.5,0.5
Controllable Stylistic Text Generation with Train-Time Attribute-Regularized Diffusion,1,1,1,1,0,0,0,0.5
AR-Diffusion: Auto-Regressive Diffusion Model for Text Generation,1,1,0.5,1,0,0,0,0.5
TextLDM: Language Modeling with Continuous Latent Diffusion,1,1,0.5,0.5,0,0,1,0.5
Deep Generative Methods and Tire Architecture Design,1,1,1,1,0,0,1,0.5
Latent Shadows: The Gaussian-Discrete Duality in Masked Diffusion,1,1,1,1,0,0,1,0.5
RetroDiff: Retrosynthesis as Multi-stage Distribution Interpolation,1,1,0.5,1,0,0,0.5,0.5
"Don't Retrain, Align: Adapting Autoregressive LMs to Diffusion LMs via Representation Alignment",1,1,0.5,1,0,0,1,0.5
Tractable Transformers for Flexible Conditional Generation,1,1,0.5,1,0,0,0,0.5
Discrete Flow Matching,1,1,0.5,1,0,0,1,0.5
Reasoning or Rationalization? The Role of Justifications in Masked Diffusion Models for Fact Verification,1,1,0.5,1,0,1,0.5,0.5
Scaling Categorical Flow Maps,1,1,0.5,1,0,0,0.5,0.5
Stopping Computation for Converged Tokens in Masked Diffusion-LM Decoding,1,1,1,0.5,0,0,0.5,0.5
Categorical Flow Matching on Statistical Manifolds,1,1,0.5,1,0,0,0.5,0.5
Efficient Controllable Diffusion via Optimal Classifier Guidance,1,1,0.5,1,0,0,0.5,0.5
From Text to Talk: Audio-Language Model Needs Non-Autoregressive Joint Training,1,1,1,1,0,0,0.5,0.5
From Denoising to Refining: A Corrective Framework for Vision-Language Diffusion Model,1,1,0.5,1,1,1,0.5,0.5
DiffusionAttacker: Diffusion-Driven Prompt Manipulation for LLM Jailbreak,1,1,0.5,1,0,0,0,0.5
Latent Thought Models with Variational Bayes Inference-Time Computation,1,1,0.5,1,0,0,0.5,0.5
Reviving Any-Subset Autoregressive Models with Principled Parallel Sampling and Speculative Decoding,1,1,1,1,0,1,0.5,0.5
Improving Classifier-Free Guidance in Masked Diffusion: Low-Dim Theoretical Insights with High-Dim Impact,1,1,0.5,1,0,0,0.5,0.5
DARE: Diffusion Large Language Models Alignment and Reinforcement Executor,1,1,0.5,1,0,0,0.5,0.5
Language Diffusion Models are Associative Memories Capable of Retrieving Unseen Data,1,1,0.5,1,0,0,1,0.5
A Unified Approach to Analysis and Design of Denoising Markov Models,1,1,0.5,1,0,0,1,0.5
Masked Diffusion Models are Secretly Time-Agnostic Masked Models and Exploit Inaccurate Categorical Sampling,1,1,0.5,1,0,0,0.5,0.5
Whisfusion: Parallel ASR Decoding via a Diffusion Transformer,1,1,0.5,1,0,0,0,0.5
A Theoretical Analysis of Why Masked Diffusion Models Mitigate the Reversal Curse,1,1,1,1,0,0,1,0.5
Unleashing Transformers: Parallel Token Prediction with Discrete Absorbing Diffusion for Fast High-Resolution Image Generation from Vector-Quantized Codes,1,1,0.5,1,0,0,0.5,0.5
Sharp Convergence Rates for Masked Diffusion Models,1,1,1,0.5,0,1,0.5,0.5
RDPM: Solve Diffusion Probabilistic Models via Recurrent Token Prediction,1,1,0.5,1,0,0,0.5,0.5
Analyzing Diffusion and Autoregressive Vision Language Models in Multimodal Embedding Space,1,1,0.5,0.5,0,0,0,0.5
"Amortizing intractable inference in diffusion models for vision, language, and control",1,1,0.5,1,0,1,0.5,0.5
SDAR: A Synergistic Diffusion-AutoRegression Paradigm for Scalable Sequence Generation,1,1,1,1,0,0,0.5,0.5
DPLM-2: A Multimodal Diffusion Protein Language Model,1,1,0.5,1,0,0,0.5,0.5
Enabling Approximate Joint Sampling in Diffusion LMs,1,1,0.5,1,0,1,0.5,0.5
Towards Closing the Autoregressive Gap in Language Modeling via Entropy-Gated Continuous Bitstream Diffusion,1,1,0.5,1,0,1,0.5,0.5
TabDLM: Free-Form Tabular Data Generation via Joint Numerical-Language Diffusion,1,1,0.5,1,0,0,0.5,0.5
DiffGRM: Diffusion-based Generative Recommendation Model,1,1,0.5,1,0,0,0.5,0.5
Every Step Counts: Decoding Trajectories as Authorship Fingerprints of dLLMs,1,1,0.5,1,0,0,0.5,0.5
UniF$^2$ace: A Unified Fine-grained Face Understanding and Generation Model,1,1,0.5,1,0,0,1,0.5
Fast-dVLM: Efficient Block-Diffusion VLM via Direct Conversion from Autoregressive VLM,1,1,0.5,1,0,0,0.5,0.5
UnMaskFork: Test-Time Scaling for Masked Diffusion via Deterministic Action Branching,1,1,0.5,1,0,0,0.5,0.5
Do Diffusion Models Dream of Electric Planes? Discrete and Continuous Model-Based Inference for Aircraft Design,1,1,0.5,0.5,0,0,0.5,0.5
Dub-S2ST: Textless Speech-to-Speech Translation for Seamless Dubbing,1,1,1,1,0,0,1,0.5
PairUni: Pairwise Training for Unified Multimodal Language Models,1,1,1,1,0,0,1,0.5
WavefrontDiffusion: Dynamic Decoding Schedule for Improved Reasoning,1,1,1,1,0,0,0.5,0.5
Towards Faster Language Model Inference Using Mixture-of-Experts Flow Matching,1,1,0.5,0.5,0,0,0.5,0.5
Orthrus: Memory-Efficient Parallel Token Generation via Dual-View Diffusion,1,1,0.5,0.5,0,0,0,0.5
DiFFPO: Training Diffusion LLMs to Reason Fast and Furious via Reinforcement Learning,1,1,0.5,1,0,1,1,0.5
How Mobile World Model Guides GUI Agents?,1,1,0.5,1,0,0,0,0.5
"On Powerful Ways to Generate: Autoregression, Diffusion, and Beyond",1,1,0.5,0.5,0,1,0.5,0.5
CANDI: Hybrid Discrete-Continuous Diffusion Models,1,1,0.5,1,0,0,0.5,0.5
Optimal Inference Schedules for Masked Diffusion Models,1,1,1,0.5,0,0,1,0.5
No Compute Left Behind: Rethinking Reasoning and Sampling with Masked Diffusion Models,1,1,0.5,1,0,1,0.5,0.5
LaViDa: A Large Diffusion Language Model for Multimodal Understanding,1,1,0.5,1,0,0,1,0.5
Accelerating Diffusion Language Model Inference via Efficient KV Caching and Guided Diffusion,1,1,1,1,0,0,0,0.5
Dimple: Discrete Diffusion Multimodal Large Language Model with Parallel Decoding,1,1,0.5,1,0,0,0.5,0.5
Lumina-DiMOO: An Omni Diffusion Large Language Model for Multi-Modal Generation and Understanding,1,1,0.5,1,0,0,0.5,0.5
MMaDA: Multimodal Large Diffusion Language Models,1,1,0.5,1,0,0,0,0.5
Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,1,1,1,1,0,0,0,0.5
ReFusion: A Diffusion Large Language Model with Parallel Autoregressive Decoding,1,1,0.5,1,0,0,0.5,0.5
Taiyi-Diffusion-XL: Advancing Bilingual Text-to-Image Generation with Large Vision-Language Model Support,1,1,0.5,0.5,0,0,0.5,0.5
TEncDM: Understanding the Properties of the Diffusion Model in the Space of Language Model Encodings,1,1,0.5,1,0,0,0,0.5
Large Language Diffusion Models,1,1,0.5,1,0,0,1,0.5
GoT: Unleashing Reasoning Capability of Multimodal Large Language Model for Visual Generation and Editing,1,1,1,1,0,0,0,0.5
Diffusion of Thought: Chain-of-Thought Reasoning in Diffusion Language Models,1,1,0.5,1,0,1,0,0.5
Minimally-Supervised Speech Synthesis with Conditional Diffusion Model and Language Model: A Comparative Study of Semantic Coding,1,1,0.5,1,0,0,0.5,0.5
FireEdit: Fine-grained Instruction-based Image Editing via Region-aware Vision Language Model,1,1,0.5,1,0,0,0,0.5
Unified Diffusion VLA: Vision-Language-Action Model via Joint Discrete Denoising Diffusion Process,1,1,0.5,1,0,0,0.5,0.5
EvoFlow-RNA: Generating and Representing non-coding RNA with a Language Model,1,1,0.5,0.5,0,0,0.5,0.5
LLaDA-V: Large Language Diffusion Models with Visual Instruction Tuning,1,1,0.5,1,0,0,0.5,0.5
LLaDA 1.5: Variance-Reduced Preference Optimization for Large Language Diffusion Models,1,1,0.5,1,0,0,0.5,0.5
Dual-Stream Diffusion for World-Model Augmented Vision-Language-Action Model,1,1,0.5,1,0,0,1,0.5
LLplace: The 3D Indoor Scene Layout Generation and Editing via Large Language Model,1,1,0.5,1,0,0,0,0.5
UniFashion: A Unified Vision-Language Model for Multimodal Fashion Retrieval and Generation,1,1,0.5,0.5,0,0,0,0.5
Introspective Diffusion Language Models,1,1,0.5,1,0,0,0,0.5
Lumos-1: On Autoregressive Video Generation with Discrete Diffusion from a Unified Model Perspective,1,1,0.5,1,0,0,0.5,0.5
Generative Multimodal Pretraining with Discrete Diffusion Timestep Tokens,1,1,0.5,1,0,0,0.5,0.5
D3PO: Preference-Based Alignment of Discrete Diffusion Models,1,1,1,0.5,0,0,0.5,0.5
PepTune: De Novo Generation of Therapeutic Peptides with Multi-Objective-Guided Discrete Diffusion,1,1,0.5,0.5,0,0,0.5,0.5
Uniform Discrete Diffusion with Metric Path for Video Generation,1,1,0.5,1,0,1,0.5,0.5
Discrete Diffusion for Generative Modeling of Text-Aligned Speech Tokens,1,1,0.5,1,0,1,0.5,0.5
LayoutDM: Discrete Diffusion Model for Controllable Layout Generation,1,1,0.5,1,0,0,0.5,0.5
Jump Your Steps: Optimizing Sampling Schedule of Discrete Diffusion Models,1,1,1,1,0,1,0.5,0.5
Consolidating Reinforcement Learning for Multimodal Discrete Diffusion Models,1,1,0.5,1,0,0,0.5,0.5
Addressing the Training-Inference Discrepancy in Discrete Diffusion for Text Generation,1,1,0.5,1,0,0,0.5,0.5
Domain-Generalized Discrete Diffusion Model for Cross-Domain Medical Image Segmentation,1,1,0.5,1,0,0,1,0.5
Watermarking Discrete Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
M2D2M: Multi-Motion Generation from Text with Discrete Diffusion Models,1,1,0.5,1,0,0,0.5,0.5
Diffsound: Discrete Diffusion Model for Text-to-Sound Generation,1,1,0.5,1,0,1,1,0.5
D2Styler: Advancing Arbitrary Style Transfer with Discrete Diffusion Methods,1,1,1,1,0,0,1,0.5
Di2Pose: Discrete Diffusion Model for Occluded 3D Human Pose Estimation,1,1,0.5,1,0,0,0.5,0.5
Adding Conditional Control to Text-to-Image Diffusion Models,1,1,1,1,0,0,0,0.5
DreamBooth: Fine Tuning Text-to-Image Diffusion Models for Subject-Driven Generation,1,1,0.5,1,0,0,0,0.5
GLIDE: Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models,1,1,0.5,1,0,0,0,0.5
CogVideoX: Text-to-Video Diffusion Models with An Expert Transformer,1,1,0.5,1,0,0,0.5,0.5
DreamFusion: Text-to-3D using 2D Diffusion,1,1,0.5,1,0,0,0,0.5
Compressed and Smooth Latent Space for Text Diffusion Modeling,1,1,0.5,1,0,0,0,0.5
IP-Adapter: Text Compatible Image Prompt Adapter for Text-to-Image Diffusion Models,1,1,0.5,0.5,0,0,0,0.5
Text Diffusion Model with Encoder-Decoder Transformers for Sequence-to-Sequence Generation,1,1,0.5,1,0,0,0.5,0.5
AnimateDiff: Animate Your Personalized Text-to-Image Diffusion Models without Specific Tuning,1,1,1,1,0,0,0,0.5
T2I-Adapter: Learning Adapters to Dig out More Controllable Ability for Text-to-Image Diffusion Models,1,1,0.5,1,0,0,0,0.5
StyleAvatar3D: Leveraging Image-Text Diffusion Models for High-Fidelity 3D Avatar Generation,1,1,0.5,0.5,0,0,0,0.5
DiffusPoll: Conditional Text Diffusion Model for Poll Generation,1,1,0.5,1,0,0,0,0.5
Null-text Inversion for Editing Real Images using Guided Diffusion Models,1,1,0.5,0.5,0,0,0,0.5
Enable Fast Sampling for Seq2Seq Text Diffusion,0.5,0.5,0.5,0.5,0,0,0,0.5
Action Text Diffusion Prior Network for Action Segmentation,1,0.5,0.5,1,0,0,0,0.5
Multi-Concept Customization of Text-to-Image Diffusion,1,1,0.5,0.5,0,0,0,0.5
Diffusion-LM Improves Controllable Text Generation,1,1,1,0.5,0,0,0.5,0.5
PixArt-Σ: Weak-to-Strong Training of Diffusion Transformer for 4K Text-to-Image Generation,1,1,0.5,0.5,0,0,0,0.5
"Mastering Text-to-Image Diffusion: Recaptioning, Planning, and Generating with Multimodal LLMs",1,1,0.5,1,0,0,0,0.5
From Reflection to Perfection: Scaling Inference-Time Optimization for Text-to-Image Diffusion Models via Reflection Tuning,1,1,0.5,1,0,1,0.5,0.5
SANA: Efficient High-Resolution Text-to-Image Synthesis with Linear Diffusion Transformers,0.5,0.5,0.5,0.5,0,0,0,0.5
Imagic: Text-Based Real Image Editing with Diffusion Models,1,1,0.5,1,0,0,0,0.5
PixArt-α: Fast Training of Diffusion Transformer for Photorealistic Text-to-Image Synthesis,1,1,0.5,1,0,0,0,0.5
Attend-and-Excite: Attention-Based Semantic Guidance for Text-to-Image Diffusion Models,1,1,0.5,1,1,1,0,0.5
Unlearning bias in text diffusion models based on decoupled adapter,1,1,0.5,1,0,0,0,0.5
Inference-Time Text-to-Video Alignment with Diffusion Latent Beam Search,1,1,1,1,0,0,0,0.5
FLUX-Text: A Simple and Advanced Diffusion Transformer Baseline for Scene Text Editing,1,1,0.5,1,0,0,0,0.5
SALAD: Skeleton-aware Latent Diffusion for Text-driven Motion Generation and Editing,1,1,1,1,0,0,0,0.5
Text2Video-Zero: Text-to-Image Diffusion Models are Zero-Shot Video Generators,1,1,1,1,0,0,0,0.5
AudioLDM: Text-to-Audio Generation with Latent Diffusion Models,1,1,1,1,0,0,1,0.5
BLIP-Diffusion: Pre-trained Subject Representation for Controllable Text-to-Image Generation and Editing,1,1,0.5,1,0,0,0,0.5
Ablating Concepts in Text-to-Image Diffusion Models,1,1,1,1,0,0,0,0.5
DesignDiffusion: High-Quality Text-to-Design Image Generation with Diffusion Models,1,1,0.5,1,0,0,0,0.5
Open-Vocabulary Panoptic Segmentation with Text-to-Image Diffusion Models,1,1,0.5,1,0,0,0,0.5
Tune-A-Video: One-Shot Tuning of Image Diffusion Models for Text-to-Video Generation,1,1,0.5,1,0,0,0.5,0.5
DPOK: Reinforcement Learning for Fine-tuning Text-to-Image Diffusion Models,1,1,0.5,1,0,0,0,0.5
SDXL: Improving Latent Diffusion Models for High-Resolution Image Synthesis,1,1,0.5,1,0,0,0,0.5
MotionDiffuse: Text-Driven Human Motion Generation With Diffusion Model,1,1,0.5,1,0,0,0,0.5
Plug-and-Play Diffusion Features for Text-Driven Image-to-Image Translation,1,1,0.5,0.5,0,0,0,0.5
AttriDiffuser: Adversarially enhanced diffusion model for text-to-facial attribute image synthesis,0.5,1,0.5,0.5,0,0,0,0.5
Text2Tex: Text-driven Texture Synthesis via Diffusion Models,1,1,0.5,1,0,0,0,0.5
Unleashing Text-to-Image Diffusion Models for Visual Perception,1,1,0.5,1,0,0,0,0.5
TextDiffuser: Diffusion Models as Text Painters,1,1,0.5,1,0,0,0,0.5
Uni-ControlNet: All-in-One Control to Text-to-Image Diffusion Models,1,1,0.5,1,0,0,0,0.5
Forget-Me-Not: Learning to Forget in Text-to-Image Diffusion Models,1,1,1,0.5,0,1,0,0.5
Reliable and Efficient Concept Erasure of Text-to-Image Diffusion Models,1,1,1,1,0,0,0,0.5
Scaling up Masked Diffusion Models on Text,1,1,0.5,1,0,0,1,0.5
Towards Understanding Cross and Self-Attention in Stable Diffusion for Text-Guided Image Editing,1,1,0.5,1,0,0,0,0.5
EasyText: Controllable Diffusion Transformer for Multilingual Text Rendering,1,1,0.5,1,0,0,0,0.5
